"global_line_item_id","order_id","order_created_at","website","customer_id","NA","NA","total_price","currency","total_price_after_currency","new"
"11305200327","6023213447","2017-09","A","298526",NA,NA,39,34.6,1349.4,"new"
"11305310727","6023273799","2017-09","A","298528",NA,NA,44,34.6,1522.4,"new"
"11305369351","6023303751","2017-09","A","298530",NA,NA,49,34.6,1695.4,"new"
"11305400967","6023322119","2017-09","A","298531",NA,NA,16,34.6,553.6,"new"
"11305413959","6023330183","2017-09","A","298533",NA,NA,11,34.6,380.6,"new"
"11305456391","6023353927","2017-09","A","298534",NA,NA,75,34.6,2595,"new"
"11305571079","6023413639","2017-09","A","298540",NA,NA,75,34.6,2595,"new"
"11305660871","6023463303","2017-09","A","60976",NA,NA,18,34.6,622.8,"new"
"11305665415","6023465415","2017-09","A","226304",NA,NA,31,34.6,1072.6,"new"
"11305758599","6023518407","2017-09","A","298544",NA,NA,97,34.6,3356.2,"new"
"11305792199","6023538375","2017-09","A","298545",NA,NA,77,34.6,2664.2,"new"
"11305792903","6023538695","2017-09","A","298546",NA,NA,88,34.6,3044.8,"new"
"11305811207","6023549575","2017-09","A","298548",NA,NA,12,34.6,415.2,"new"
"11306252103","6023797063","2017-09","A","298551",NA,NA,62,34.6,2145.2,"new"
"11306433479","6023902663","2017-09","A","298555",NA,NA,57,34.6,1972.2,"new"
"11306465159","6023920711","2017-09","A","298556",NA,NA,26,34.6,899.6,"new"
"11306616903","6024006791","2017-09","A","229394",NA,NA,15,34.6,519,"new"
"11306659719","6024031367","2017-09","A","298560",NA,NA,75,34.6,2595,"new"
"11306845767","6024140679","2017-09","A","298562",NA,NA,56,34.6,1937.6,"new"
"11306881287","6024160519","2017-09","A","298566",NA,NA,31,34.6,1072.6,"new"
"11307221831","6024362823","2017-09","A","298575",NA,NA,68,34.6,2352.8,"new"
"11307380807","6024454535","2017-09","A","298578",NA,NA,36,34.6,1245.6,"new"
"11307859463","6024733255","2017-09","A","298606",NA,NA,37,34.6,1280.2,"new"
"11308208135","6024932487","2017-09","A","298635",NA,NA,74,34.6,2560.4,"new"
"11308252295","6024960135","2017-09","A","298641",NA,NA,99,34.6,3425.4,"new"
"11308292935","6024986183","2017-09","A","226532",NA,NA,18,34.6,622.8,"new"
"11308319687","6025002055","2017-09","A","298649",NA,NA,21,34.6,726.6,"new"
"11308334727","6025011207","2017-09","A","298650",NA,NA,55,34.6,1903,"new"
"11308394823","6025046215","2017-09","A","3562",NA,NA,64,34.6,2214.4,"new"
"11308428807","6025067719","2017-09","A","298663",NA,NA,25,34.6,865,"new"
"11308442183","6025075143","2017-09","A","298664",NA,NA,58,34.6,2006.8,"new"
"11308475655","6025094023","2017-09","A","3656",NA,NA,79,34.6,2733.4,"new"
"11308494535","6025104967","2017-09","A","298669",NA,NA,54,34.6,1868.4,"new"
"11308511815","6025112839","2017-09","A","298671",NA,NA,100,34.6,3460,"new"
"11308533255","6025124935","2017-09","A","298673",NA,NA,84,34.6,2906.4,"new"
"11308752583","6025245831","2017-09","A","226352",NA,NA,41,34.6,1418.6,"new"
"11308766471","6025253639","2017-09","A","298686",NA,NA,80,34.6,2768,"new"
"11308814279","6025276679","2017-09","A","298689",NA,NA,28,34.6,968.8,"new"
"11308854855","6025301831","2017-09","A","298692",NA,NA,92,34.6,3183.2,"new"
"11308955015","6025357959","2017-09","A","298697",NA,NA,20,34.6,692,"new"
"11308970695","6025366855","2017-09","A","238112",NA,NA,38,34.6,1314.8,"new"
"11309028551","6025399943","2017-09","A","298703",NA,NA,80,34.6,2768,"new"
"11309047815","6025412103","2017-09","A","298707",NA,NA,87,34.6,3010.2,"new"
"11309099911","6025444231","2017-09","A","295568",NA,NA,43,34.6,1487.8,"new"
"11309163719","6025480647","2017-09","A","298720",NA,NA,78,34.6,2698.8,"new"
"11309171079","6025484743","2017-09","A","182530",NA,NA,73,34.6,2525.8,"new"
"11309198279","6025497095","2017-09","A","298721",NA,NA,44,34.6,1522.4,"new"
"11309215431","6025506119","2017-09","A","298723",NA,NA,61,34.6,2110.6,"new"
"11309273799","6025541959","2017-09","A","298726",NA,NA,17,34.6,588.2,"new"
"11309278343","6025544455","2017-09","A","298727",NA,NA,56,34.6,1937.6,"new"
"11309281223","6025545991","2017-09","A","298728",NA,NA,28,34.6,968.8,"new"
"11309507655","6025675335","2017-09","A","298739",NA,NA,46,34.6,1591.6,"new"
"11309576711","6025714439","2017-09","A","298745",NA,NA,46,34.6,1591.6,"new"
"11309733959","6025807687","2017-09","A","298755",NA,NA,87,34.6,3010.2,"new"
"11309851079","6025876295","2017-09","A","298764",NA,NA,37,34.6,1280.2,"new"
"11309907335","6025909639","2017-09","A","298766",NA,NA,77,34.6,2664.2,"new"
"11309921543","6025917703","2017-09","A","298767",NA,NA,72,34.6,2491.2,"new"
"11309955847","6025937863","2017-09","A","298774",NA,NA,69,34.6,2387.4,"new"
"11309981831","6025954055","2017-09","A","298776",NA,NA,28,34.6,968.8,"new"
"11310013447","6025970695","2017-09","A","298779",NA,NA,81,34.6,2802.6,"new"
"11310117191","6026028679","2017-09","A","298787",NA,NA,73,34.6,2525.8,"new"
"11310146247","6026045767","2017-09","A","298788",NA,NA,36,34.6,1245.6,"new"
"11310155911","6026050503","2017-09","A","235111",NA,NA,82,34.6,2837.2,"new"
"11310156999","6026050951","2017-09","A","286773",NA,NA,31,34.6,1072.6,"new"
"11310459911","6026219207","2017-09","A","298802",NA,NA,11,34.6,380.6,"new"
"11310509703","6026249223","2017-09","A","298804",NA,NA,39,34.6,1349.4,"new"
"11310568135","6026281543","2017-09","A","298805",NA,NA,97,34.6,3356.2,"new"
"11310606791","6026303623","2017-09","A","298806",NA,NA,36,34.6,1245.6,"new"
"11310617799","6026310279","2017-09","A","298807",NA,NA,76,34.6,2629.6,"new"
"11310618375","6026310727","2017-09","A","298808",NA,NA,24,34.6,830.4,"new"
"11310760775","6026385991","2017-09","A","288679",NA,NA,55,34.6,1903,"new"
"11310765319","6026388999","2017-09","A","298816",NA,NA,53,34.6,1833.8,"new"
"11310779143","6026397127","2017-09","A","298817",NA,NA,19,34.6,657.4,"new"
"11310806407","6026411527","2017-09","A","298818",NA,NA,100,34.6,3460,"new"
"11310899079","6026459015","2017-09","A","298819",NA,NA,51,34.6,1764.6,"new"
"11310937159","6026481095","2017-09","A","297680",NA,NA,91,34.6,3148.6,"new"
"11310965319","6026495623","2017-09","A","210803",NA,NA,28,34.6,968.8,"new"
"11311018887","6026525767","2017-09","A","298823",NA,NA,74,34.6,2560.4,"new"
"11311044423","6026542983","2017-09","A","298824",NA,NA,37,34.6,1280.2,"new"
"11311061447","6026551687","2017-09","A","298826",NA,NA,46,34.6,1591.6,"new"
"11311106887","6026577351","2017-09","A","298828",NA,NA,55,34.6,1903,"new"
"11311161159","6026608775","2017-09","A","298831",NA,NA,69,34.6,2387.4,"new"
"11311198087","6026629703","2017-09","A","298833",NA,NA,52,34.6,1799.2,"new"
"11311261831","6026665927","2017-09","A","162461",NA,NA,17,34.6,588.2,"new"
"11311315975","6026699335","2017-09","A","298843",NA,NA,83,34.6,2871.8,"new"
"11311353799","6026721799","2017-09","A","167841",NA,NA,85,34.6,2941,"new"
"11311412807","6026755847","2017-09","A","298848",NA,NA,26,34.6,899.6,"new"
"11311451591","6026778055","2017-09","A","4805",NA,NA,42,34.6,1453.2,"new"
"11311495303","6026801607","2017-09","A","298850",NA,NA,56,34.6,1937.6,"new"
"11311514503","6026813447","2017-09","A","298851",NA,NA,13,34.6,449.8,"new"
"11311519047","6026816007","2017-09","A","298852",NA,NA,51,34.6,1764.6,"new"
"11311672647","6026905479","2017-09","A","298856",NA,NA,95,34.6,3287,"new"
"11311758087","6026954503","2017-09","A","298859",NA,NA,52,34.6,1799.2,"new"
"11311967431","6027073223","2017-09","A","298863",NA,NA,97,34.6,3356.2,"new"
"11312012167","6027097863","2017-09","A","298864",NA,NA,50,34.6,1730,"new"
"11312016967","6027101255","2017-09","A","298865",NA,NA,92,34.6,3183.2,"new"
"11312065159","6027130375","2017-09","A","298867",NA,NA,75,34.6,2595,"new"
"11312104455","6027154439","2017-09","A","298871",NA,NA,36,34.6,1245.6,"new"
"11312143559","6027176519","2017-09","A","298872",NA,NA,91,34.6,3148.6,"new"
"11312146887","6027178759","2017-09","A","298873",NA,NA,100,34.6,3460,"new"
"11312185095","6027201095","2017-09","A","298874",NA,NA,45,34.6,1557,"new"
"11312273543","6027251463","2017-09","A","210568",NA,NA,76,34.6,2629.6,"new"
"11312374983","6027312519","2017-09","A","298881",NA,NA,64,34.6,2214.4,"new"
"11312856263","6027595207","2017-09","A","298887",NA,NA,75,34.6,2595,"new"
"11312899527","6027619207","2017-09","A","298888",NA,NA,72,34.6,2491.2,"new"
"11313387591","6027911687","2017-09","A","196826",NA,NA,80,34.6,2768,"new"
"11313993287","6028251463","2017-09","A","298959",NA,NA,20,34.6,692,"new"
"11314067143","6028285511","2017-09","A","271650",NA,NA,57,34.6,1972.2,"new"
"11314116871","6028315079","2017-09","A","298972",NA,NA,74,34.6,2560.4,"new"
"11314134983","6028325639","2017-09","A","298977",NA,NA,16,34.6,553.6,"new"
"11314166919","6028345735","2017-09","A","298980",NA,NA,67,34.6,2318.2,"new"
"11314197383","6028364743","2017-09","A","298985",NA,NA,48,34.6,1660.8,"new"
"11314202823","6028368647","2017-09","A","298988",NA,NA,14,34.6,484.4,"new"
"11314221383","6028380679","2017-09","A","298992",NA,NA,65,34.6,2249,"new"
"11314235271","6028388295","2017-09","A","298996",NA,NA,54,34.6,1868.4,"new"
"11314269127","6028408199","2017-09","A","298999",NA,NA,46,34.6,1591.6,"new"
